configuration_path,shape_and_values,optional,constraints,source
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:1} (DNSRuleAction){oneOf:3}.ns,"{""anyOf"":[{""$ref"":""#/$defs/DNSRecordOptions""},{""items"":{""$ref"":""#/$defs/DNSRecordOptions""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_action.go#L320
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:1} (DNSRuleAction){oneOf:3}.rcode,"{""$ref"":""#/$defs/DNSRCode""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_action.go#L318
$.dns (DNSOptions).rules[] (DNSRule){oneOf:1}{allOf:0}.invert,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L144
$.dns (DNSOptions).rules[] (DNSRule){oneOf:1}{allOf:0}.mode,"{""enum"":[""and"",""or""],""type"":""string""}",no in this branch,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L23
$.dns (DNSOptions).rules[] (DNSRule){oneOf:1}{allOf:0}.rules,"{""items"":{""$ref"":""#/$defs/DNSRule""},""minItems"":1,""type"":""array""}",no in this branch,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L143
$.dns (DNSOptions).rules[] (DNSRule){oneOf:1}{allOf:0}.type,"{""const"":""logical""}",no in this branch,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L23
$.dns (DNSOptions).servers,"{""items"":{""$ref"":""#/$defs/DNSServerOptions""},""type"":""array""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L22
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.bind_address_no_port,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L72
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.bind_interface,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L69
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.connect_timeout,"{""$ref"":""#/$defs/badoption_Duration""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L77
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.detour,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L68
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.disable_tcp_keep_alive,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L80
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.domain_resolver,"{""$ref"":""#/$defs/DomainResolveOptions""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L85
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.domain_resolver (DomainResolveOptions){anyOf:1}.client_subnet,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L100
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.domain_resolver (DomainResolveOptions){anyOf:1}.disable_cache,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L98
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.domain_resolver (DomainResolveOptions){anyOf:1}.rewrite_ttl,"{""maximum"":4294967295,""minimum"":0,""type"":""integer""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L99
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.domain_resolver (DomainResolveOptions){anyOf:1}.server,"{""type"":""string""}",no in this branch,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L96
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.domain_resolver (DomainResolveOptions){anyOf:1}.strategy,"{""$ref"":""#/$defs/DomainStrategy""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L97
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.domain_strategy,"{""$ref"":""#/$defs/DomainStrategy""}",yes; conditional core requirements still apply,Deprecated: migrated to domain resolver,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L92
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.fallback_delay,"{""$ref"":""#/$defs/badoption_Duration""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L89
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.fallback_network_type,"{""anyOf"":[{""$ref"":""#/$defs/InterfaceType""},{""items"":{""$ref"":""#/$defs/InterfaceType""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L88
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.inet4_bind_address,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L70
